category,samples,anomalies,auroc,ap,tpr_90,tpr_95,tpr_99
brake_disc,136,2,0.9813432835820896,0.6428571428571428,0.5,0.5,0.0
engine_wiring,607,322,0.6816334314045984,0.6910770489135346,0.2670807453416149,0.13354037267080746,0.043478260869565216
oil_pump_connector,33,5,0.6928571428571428,0.25216450216450215,0.0,0.0,0.0
pipe_clip,337,142,0.4724088118454316,0.39228389748311576,0.04929577464788732,0.02112676056338028,0.0
pipe_staple,305,117,0.5164120749227131,0.39341834310738555,0.06837606837606838,0.05128205128205128,0.0
right_radiator,38,4,0.7794117647058824,0.33055555555555555,0.25,0.0,0.0
tank_screw,413,95,0.46676597153260513,0.20894949948607122,0.06315789473684211,0.010526315789473684,0.0
underbody_pipes,345,184,0.8691938968403996,0.8327212602694384,0.5706521739130435,0.15217391304347827,0.005434782608695652
underbody_screw,392,18,0.8459595959595959,0.14640099363019715,0.2777777777777778,0.1111111111111111,0.0
