Model,Image AUROC,Image AP,Pixel AUROC,TPR@95%,AUROC Range,Disparate Impact
Federated Category-Aware,0.7522764153607182,0.5821370304158813,0.8732135500368319,20.58492688413948,0.49217097234779433,0.49072656143162596
Federated FedProx,0.7461617530773127,0.5810023112062132,0.8697357986589236,19.34758155230596,0.48762122851482403,0.49150782396119513
Federated FedAvg,0.7419826744138054,0.5660506578235878,0.8678308518287685,18.672665916760405,0.49041209663629476,0.48659983633387893
Centralized Improved,0.7213889687784367,0.5268763443400493,0.8616141804248363,12.823397075365579,0.5145773120494844,0.4756398493183961
Aggregated Category-Aware,0.7155337382477744,0.5138198120153421,0.845412516271449,12.148481439820022,0.4226508964610908,0.5240737804555785
