category,samples,anomalies,auroc,ap,tpr_90,tpr_95,tpr_99
brake_disc,136,2,0.9552238805970149,0.5714285714285714,0.5,0.5,0.0
engine_wiring,607,322,0.6718208564890487,0.6779186930187617,0.2267080745341615,0.12732919254658384,0.037267080745341616
oil_pump_connector,33,5,0.6785714285714286,0.2554545454545455,0.0,0.0,0.0
pipe_clip,337,142,0.5131816540267244,0.4235517506779919,0.056338028169014086,0.04225352112676056,0.007042253521126761
pipe_staple,305,117,0.46481178396072015,0.3564802354804445,0.05982905982905983,0.03418803418803419,0.0
right_radiator,38,4,0.5294117647058824,0.2287315724815725,0.0,0.0,0.0
tank_screw,413,95,0.48619662363455807,0.21813901719493226,0.05263157894736842,0.021052631578947368,0.0
underbody_pipes,345,184,0.9083175803402647,0.8866186147771076,0.717391304347826,0.375,0.03804347826086957
underbody_screw,392,18,0.9413250148544265,0.5104200285818096,0.7777777777777778,0.6666666666666666,0.2777777777777778
