category,samples,anomalies,auroc,ap,tpr_90,tpr_95,tpr_99
brake_disc,136,2,0.8880597014925373,0.53125,0.0,0.0,0.0
engine_wiring,607,322,0.6629508553993679,0.6693742344233409,0.2732919254658385,0.11180124223602485,0.009316770186335404
oil_pump_connector,33,5,0.7714285714285714,0.3286953242835595,0.0,0.0,0.0
pipe_clip,337,142,0.5289996388587939,0.44064899001356084,0.1056338028169014,0.035211267605633804,0.007042253521126761
pipe_staple,305,117,0.49222585924713586,0.40510041046608325,0.06837606837606838,0.05128205128205128,0.03418803418803419
right_radiator,38,4,0.6176470588235294,0.17467320261437908,0.0,0.0,0.0
tank_screw,413,95,0.46540880503144655,0.20983651371255502,0.042105263157894736,0.021052631578947368,0.0
underbody_pipes,345,184,0.8486362408857682,0.8273574738791978,0.5,0.266304347826087,0.04891304347826087
underbody_screw,392,18,0.8119429590017826,0.15072601457278273,0.3333333333333333,0.2222222222222222,0.05555555555555555
