category,samples,anomalies,auroc,ap,tpr_90,tpr_95,tpr_99
brake_disc,136,2,0.958955223880597,0.5769230769230769,0.5,0.5,0.0
engine_wiring,607,322,0.6578838400348698,0.6767809547556173,0.2236024844720497,0.14596273291925466,0.059006211180124224
oil_pump_connector,33,5,0.7357142857142858,0.2763095238095238,0.0,0.0,0.0
pipe_clip,337,142,0.5177320332249911,0.4116307892814232,0.06338028169014084,0.007042253521126761,0.0
pipe_staple,305,117,0.4982724131660302,0.39620760487449275,0.1111111111111111,0.08547008547008547,0.0
right_radiator,38,4,0.5441176470588236,0.2354066985645933,0.0,0.0,0.0
tank_screw,413,95,0.4713339953657729,0.21546410062094143,0.05263157894736842,0.031578947368421054,0.0
underbody_pipes,345,184,0.8932959762354847,0.8802918830896437,0.7119565217391305,0.41304347826086957,0.08695652173913043
underbody_screw,392,18,0.9527629233511588,0.5207107139618439,0.8333333333333334,0.5,0.2222222222222222
