category,samples,anomalies,auroc,ap,tpr_90,tpr_95,tpr_99
brake_disc,136,2,0.9552238805970149,0.5714285714285714,0.5,0.5,0.0
engine_wiring,607,322,0.6308815517053504,0.6865260894618539,0.2422360248447205,0.17080745341614906,0.11490683229813664
oil_pump_connector,33,5,0.5714285714285714,0.2546939619520264,0.0,0.0,0.0
pipe_clip,337,142,0.5005778259299386,0.423534615059483,0.07042253521126761,0.035211267605633804,0.007042253521126761
pipe_staple,305,117,0.5125931987634116,0.38500744920436647,0.07692307692307693,0.03418803418803419,0.0
right_radiator,38,4,0.5661764705882353,0.20964912280701753,0.0,0.0,0.0
tank_screw,413,95,0.46653426017874877,0.2147605702156684,0.05263157894736842,0.042105263157894736,0.0
underbody_pipes,345,184,0.8108290575209289,0.7670606715812909,0.3532608695652174,0.18478260869565216,0.0
underbody_screw,392,18,0.6654783125371361,0.06857933965134914,0.0,0.0,0.0
