category,samples,anomalies,auroc,ap,tpr_90,tpr_95,tpr_99
brake_disc,136,2,0.9291044776119404,0.5476190476190477,0.5,0.0,0.0
engine_wiring,607,322,0.6058297918709818,0.6578546546175217,0.21428571428571427,0.15217391304347827,0.07142857142857142
oil_pump_connector,33,5,0.6642857142857143,0.24487179487179486,0.0,0.0,0.0
pipe_clip,337,142,0.5178764897074757,0.43846209108712486,0.11267605633802817,0.035211267605633804,0.0
pipe_staple,305,117,0.5083651573013275,0.38663661514064934,0.11965811965811966,0.017094017094017096,0.0
right_radiator,38,4,0.5661764705882353,0.157258064516129,0.0,0.0,0.0
tank_screw,413,95,0.47838464084740145,0.21267382818170333,0.031578947368421054,0.0,0.0
underbody_pipes,345,184,0.8275384823116392,0.7770536523997865,0.3967391304347826,0.17391304347826086,0.0
underbody_screw,392,18,0.6275995246583481,0.05974231487392772,0.0,0.0,0.0
